DATE,unemploymentrate
1999/9/1,4.5
1999/10/1,4.4
1999/11/1,4.4
1999/12/1,4.4
2000/1/1,4.3
2000/2/1,4.3
2000/3/1,4.3
2000/4/1,4.3
2000/5/1,4.3
2000/6/1,4.4
2000/7/1,4.5
2000/8/1,4.5
2000/9/1,4.5
2000/10/1,4.5
2000/11/1,4.5
2000/12/1,4.4
2001/1/1,4.4
2001/2/1,4.5
2001/3/1,4.5
2001/4/1,4.6
2001/5/1,4.6
2001/6/1,4.7
2001/7/1,4.7
2001/8/1,4.8
2001/9/1,5
2001/10/1,5.1
2001/11/1,5.3
2001/12/1,5.4
2002/1/1,5.5
2002/2/1,5.6
2002/3/1,5.6
2002/4/1,5.6
2002/5/1,5.6
2002/6/1,5.5
2002/7/1,5.5
2002/8/1,5.5
2002/9/1,5.6
2002/10/1,5.7
2002/11/1,5.8
2002/12/1,5.9
2003/1/1,5.9
2003/2/1,6
2003/3/1,6
2003/4/1,6
2003/5/1,6
2003/6/1,6
2003/7/1,5.9
2003/8/1,5.9
2003/9/1,5.8
2003/10/1,5.8
2003/11/1,5.7
2003/12/1,5.7
2004/1/1,5.7
2004/2/1,5.7
2004/3/1,5.7
2004/4/1,5.6
2004/5/1,5.6
2004/6/1,5.6
2004/7/1,5.6
2004/8/1,5.6
2004/9/1,5.6
2004/10/1,5.6
2004/11/1,5.5
2004/12/1,5.5
2005/1/1,5.5
2005/2/1,5.5
2005/3/1,5.4
2005/4/1,5.3
2005/5/1,5.3
2005/6/1,5.2
2005/7/1,5.2
2005/8/1,5.2
2005/9/1,5.2
2005/10/1,5.2
2005/11/1,5.1
2005/12/1,5
2006/1/1,4.9
2006/2/1,4.9
2006/3/1,4.9
2006/4/1,4.9
2006/5/1,4.9
2006/6/1,5
2006/7/1,4.9
2006/8/1,4.9
2006/9/1,4.8
2006/10/1,4.7
2006/11/1,4.6
2006/12/1,4.5
2007/1/1,4.4
2007/2/1,4.4
2007/3/1,4.4
2007/4/1,4.3
2007/5/1,4.4
2007/6/1,4.4
2007/7/1,4.5
2007/8/1,4.6
2007/9/1,4.6
2007/10/1,4.7
2007/11/1,4.7
2007/12/1,4.7
2008/1/1,4.7
2008/2/1,4.7
2008/3/1,4.8
2008/4/1,4.8
2008/5/1,4.9
2008/6/1,4.9
2008/7/1,5
2008/8/1,5.1
2008/9/1,5.3
2008/10/1,5.5
2008/11/1,5.8
2008/12/1,6.1
2009/1/1,6.4
2009/2/1,6.8
2009/3/1,7
2009/4/1,7.2
2009/5/1,7.3
2009/6/1,7.4
2009/7/1,7.5
2009/8/1,7.5
2009/9/1,7.4
2009/10/1,7.5
2009/11/1,7.6
2009/12/1,7.7
2010/1/1,8
2010/2/1,8.1
2010/3/1,8.1
2010/4/1,8
2010/5/1,7.8
2010/6/1,7.6
2010/7/1,7.5
2010/8/1,7.4
2010/9/1,7.4
2010/10/1,7.4
2010/11/1,7.4
2010/12/1,7.4
2011/1/1,7.3
2011/2/1,7.2
2011/3/1,7.2
2011/4/1,7.2
2011/5/1,7.2
2011/6/1,7.3
2011/7/1,7.3
2011/8/1,7.3
2011/9/1,7.3
2011/10/1,7.2
2011/11/1,7.1
2011/12/1,7
2012/1/1,6.9
2012/2/1,6.9
2012/3/1,6.9
2012/4/1,7
2012/5/1,7.1
2012/6/1,7.1
2012/7/1,7.2
2012/8/1,7.2
2012/9/1,7.2
2012/10/1,7.1
2012/11/1,7.1
2012/12/1,7.1
2013/1/1,7
2013/2/1,6.9
2013/3/1,6.8
2013/4/1,6.7
2013/5/1,6.6
2013/6/1,6.6
2013/7/1,6.6
2013/8/1,6.6
2013/9/1,6.5
2013/10/1,6.4
2013/11/1,6.3
2013/12/1,6.2
2014/1/1,6.1
2014/2/1,6
2014/3/1,6
2014/4/1,5.9
2014/5/1,5.9
2014/6/1,5.8
2014/7/1,5.7
2014/8/1,5.6
2014/9/1,5.5
2014/10/1,5.5
2014/11/1,5.4
2014/12/1,5.4
2015/1/1,5.4
2015/2/1,5.4
2015/3/1,5.4
2015/4/1,5.4
2015/5/1,5.4
2015/6/1,5.4
2015/7/1,5.4
2015/8/1,5.4
2015/9/1,5.4
2015/10/1,5.4
2015/11/1,5.4
2015/12/1,5.4
2016/1/1,5.5
2016/2/1,5.5
2016/3/1,5.6
2016/4/1,5.6
2016/5/1,5.6
2016/6/1,5.6
2016/7/1,5.6
2016/8/1,5.6
2016/9/1,5.6
2016/10/1,5.6
2016/11/1,5.6
2016/12/1,5.5
2017/1/1,5.5
2017/2/1,5.4
2017/3/1,5.3
2017/4/1,5.2
2017/5/1,5.1
2017/6/1,5.1
2017/7/1,5
2017/8/1,5
2017/9/1,5
2017/10/1,4.9
2017/11/1,4.9
2017/12/1,4.9
2018/1/1,4.8
2018/2/1,4.7
2018/3/1,4.6
2018/4/1,4.5
2018/5/1,4.4
2018/6/1,4.3
2018/7/1,4.2
2018/8/1,4.2
2018/9/1,4.2
2018/10/1,4.2
2018/11/1,4.2
2018/12/1,4.3
2019/1/1,4.3
2019/2/1,4.3
2019/3/1,4.3
2019/4/1,4.2
2019/5/1,4.2
2019/6/1,4.2
2019/7/1,4.2
2019/8/1,4.3
2019/9/1,4.3
2019/10/1,4.4
2019/11/1,4.4
2019/12/1,4.4
2020/1/1,4.4
2020/2/1,4.4
2020/3/1,5.7
2020/4/1,16.4
2020/5/1,13.4
2020/6/1,11.1
2020/7/1,11.1
2020/8/1,9.1
2020/9/1,9.1
2020/10/1,8.1
2020/11/1,7.7
2020/12/1,8.4
2021/1/1,6.9
2021/2/1,6.8
2021/3/1,6.7
2021/4/1,6.5
2021/5/1,6.4
2021/6/1,6.2
2021/7/1,6
2021/8/1,5.7
2021/9/1,5.4
2021/10/1,5.1
2021/11/1,4.8
2021/12/1,4.6
2022/1/1,4.5
2022/2/1,4.4
2022/3/1,4.4
2022/4/1,4.4
2022/5/1,4.5
2022/6/1,4.5
2022/7/1,4.5
2022/8/1,4.5
2022/9/1,4.5
2022/10/1,4.5
2022/11/1,4.5
2022/12/1,4.5
2023/1/1,4.5
2023/2/1,4.5
2023/3/1,4.3
